Drop Location,Latitude,Longitude
Jhilmil,28.6757197,77.3123949
Gurgaon Sector 56,28.5337309,77.089943
Malviya Nagar,28.5339201,77.2124474
Inderlok,28.6727066,77.1691872
Khan Market,28.5995141,77.2259785
Narsinghpur,,
Punjabi Bagh,28.672995,77.1461239
Cyber Hub,,
Noida Sector 18,,
Adarsh Nagar,28.7165805,77.1704223
Dwarka Sector 21,28.5519218,77.0585605
AIIMS,28.5668602,77.2078058
Kherki Daula Toll,,
Ghitorni Village,28.4931214,77.1424868
GTB Nagar,28.6981333,77.2063998
Madipur,28.6764752,77.1193599
Anand Vihar,28.6468336,77.3158749
Rajiv Nagar,28.7440548,77.1624222
Mansarovar Park,28.675385,77.3008678
Botanical Garden,,
IMT Manesar,,
Old Gurgaon,28.5337309,77.089943
Barakhamba Road,28.6300456,77.2243619
Saket,28.521168,77.2022237
Mehrauli,28.5218262,77.1783232
Vishwavidyalaya,28.6899842,77.2197295
Preet Vihar,28.6414176,77.2952819
Nehru Place,28.5492574,77.2529526
Shahdara,28.6758661,77.2985078
Noida Film City,,
Mandi House,28.6256122,77.2341966
Janakpuri,28.6219272,77.0874757
Udyog Vihar Phase 4,28.6822073,77.0884362
Civil Lines Gurgaon,,
Karkarduma,28.6493434,77.3060686
Tagore Garden,28.6437639,77.1128454
Noida Extension,,
Anand Vihar ISBT,28.6467533,77.3180037
Central Secretariat,28.6158794,77.2122822
Hauz Rani,28.5291809,77.2117586
Palam Vihar,28.5546315,77.1775233
RK Puram,28.5656918,77.174646
Basai Dhankot,,
Badarpur,28.4932633,77.3030303
Ramesh Nagar,28.6527444,77.1316496
Akshardham,28.6125167,77.2773184
Yamuna Bank,28.6232554,77.2678697
IGI Airport,28.5564626,77.0866995
New Colony,28.5671008,77.2697643
Green Park,28.5564421,77.2038699
ITO,28.6281909,77.2410437
New Delhi Railway Station,28.6402816,77.2204103
Mundka,28.6819261,77.0308105
India Gate,28.6129332,77.2294928
Pitampura,28.6995123,77.1301047
Netaji Subhash Place,28.6960485,77.1524856
Indraprastha,28.6206019,77.249551
Rohini,28.7162092,77.1170743
Chirag Delhi,28.5381411,77.2280694
Pataudi Chowk,28.6481428,77.2379943
Karol Bagh,28.6529982,77.1890227
Vaishali,28.6407652,77.0676646
IFFCO Chowk,28.4771721,77.0682208
Noida Sector 62,28.6292302,77.384168
Gwal Pahari,,
Saidulajab,28.5204237,77.2022859
Jasola,28.5427353,77.2913342
Tis Hazari,28.6671626,77.2166306
Udyog Bhawan,28.6105302,77.2131076
Saket A Block,28.528163,77.2048771
Mayur Vihar,28.6098555,77.2926318
Gurgaon Sector 29,28.5337309,77.089943
Ashram,28.5724231,77.2585979
DLF City Court,,
Badshahpur,,
DLF Phase 3,28.6328027,77.2197713
Greater Noida,,
IGNOU Road,28.5159032,77.2056737
Bahadurgarh,28.6602024,77.2148037
Chandni Chowk,28.6559834,77.2321937
Shastri Park,28.6684339,77.2505301
Nawada,28.6202758,77.0450787
Dilshad Garden,28.6758864,77.321446
Kaushambi,28.6452857,77.3243429
Qutub Minar,28.524413,77.1854501
Vinobapuri,28.565871,77.2492973
MG Road,28.4915171,77.1433001
Chanakyapuri,28.5946775,77.1885212
Vidhan Sabha,28.6863222,77.2217271
Tilak Nagar,28.6365265,77.096482
Laxmi Nagar,28.6305974,77.277523
Panchsheel Park,28.5423747,77.2210916
Nirman Vihar,28.6364592,77.2868145
Jama Masjid,28.6506822,77.232961
Aya Nagar,28.476491,77.1329132
Hauz Khas,28.5498087,77.2077638
Meerut,28.6046556,77.3140724
Jahangirpuri,28.7259717,77.162658
Bhiwadi,,
Azadpur,28.7057821,77.1819488
Sohna Road,,
Shivaji Park,28.6750317,77.1304722
Greater Kailash,28.5419077,77.2384925
Manesar,28.3083078,76.8958358
Okhla,28.5636616,77.2890546
Pragati Maidan,28.6172378,77.2434616
Raj Nagar Extension,,
Lajpat Nagar,28.5660924,77.2432851
Keshav Puram,28.6889264,77.1616833
Satguru Ram Singh Marg,28.6188228,77.1131431
Faridabad Sector 15,28.4997029,77.315639
Kashmere Gate,28.6668141,77.2290549
Samaypur Badli,28.7446411,77.1382701
Jor Bagh,28.5865094,77.2125273
Paharganj,28.6414989,77.2140607
Delhi Gate,28.6392211,77.2408097
Vasant Kunj,28.5292495,77.1541335
Golf Course Road,28.5988477,77.2359301
Subhash Nagar,28.6404593,77.1051815
Sadar Bazar Gurgaon,,
Sushant Lok,,
Bhikaji Cama Place,28.5702618,77.1878709
Arjangarh,28.4787294,77.1209508
Hero Honda Chowk,28.7404709,77.1658628
Ghitorni,28.4931214,77.1424868
Maidan Garhi,28.4987734,77.1944475
Pulbangash,28.664396,77.212246
Sarai Kale Khan,28.5866263,77.2562282
Rohini West,28.7149569,77.115385
Moti Nagar,28.657859,77.1424288
Udyog Vihar,28.6822073,77.0884362
South Extension,28.5685664,77.2205677
Moolchand,28.5644044,77.2342555
Uttam Nagar,28.6215226,77.0611064
Peeragarhi,28.6773142,77.0931024
Ambience Mall,28.5412453,77.1551082
Munirka,28.554886,77.1710841
Ghaziabad,28.7172505,77.2869559
Sikanderpur,,
Kalkaji,28.5469476,77.258801
Panipat,,
Lok Kalyan Marg,28.5973513,77.2110967
Kirti Nagar,28.655746,77.1506635
Ashok Park Main,28.6716045,77.155291
Tughlakabad,28.5034421,77.2970508
Shastri Nagar,28.6700885,77.1818589
Rohini East,28.7075774,77.1259971
Paschim Vihar,28.6695782,77.095956
Indirapuram,,
INA Market,28.5744076,77.2102415
Kashmere Gate ISBT,28.6686963,77.2304228
Sultanpur,28.4991235,77.1613745
Rajouri Garden,28.6511896,77.1242597
Vatika Chowk,,
Ardee City,,
Gurgaon Railway Station,,
Ashok Vihar,28.6885171,77.1739339
Connaught Place,28.6314022,77.2193791
Chhatarpur,28.5067242,77.1750019
Rajiv Chowk,28.6314022,77.2193791
Subhash Chowk,28.6570924,77.2400049
Huda City Centre,,
Rithala,28.7208064,77.1071813
Govindpuri,28.5351561,77.2637936
IIT Delhi,28.5449971,77.1891506
Dwarka Mor,28.61931,77.0332792
Patel Chowk,28.6229664,77.214031
Welcome,28.6724018,77.2770239
Seelampur,28.6698165,77.2668137
Model Town,28.707334,77.1885231
Kadarpur,,
Sarojini Nagar,28.575817,77.1980786
Kanhaiya Nagar,28.6824082,77.1647754
Khandsa,,
Lal Quila,28.657483,77.2366607
Sonipat,28.8615181,77.0863234
