Pickup Location,Latitude,Longitude
Udyog Vihar,28.6822073,77.0884362
Basai Dhankot,,
Tughlakabad,28.5034421,77.2970508
Palam Vihar,28.5546315,77.1775233
Narsinghpur,,
Jhilmil,28.6757197,77.3123949
Jama Masjid,28.6506822,77.232961
Udyog Bhawan,28.6105302,77.2131076
Green Park,28.5564421,77.2038699
Greater Noida,,
Cyber Hub,,
Anand Vihar,28.6468336,77.3158749
Munirka,28.554886,77.1710841
Sarojini Nagar,28.575817,77.1980786
Panchsheel Park,28.5423747,77.2210916
India Gate,28.6129332,77.2294928
Mundka,28.6819261,77.0308105
Dwarka Sector 21,28.5519218,77.0585605
Jasola,28.5427353,77.2913342
IGNOU Road,28.5159032,77.2056737
Tilak Nagar,28.6365265,77.096482
Rohini East,28.7075774,77.1259971
Janakpuri,28.6219272,77.0874757
Kashmere Gate ISBT,28.6686963,77.2304228
DLF Phase 3,28.6328027,77.2197713
Saket,28.521168,77.2022237
Gwal Pahari,,
Rithala,28.7208064,77.1071813
Qutub Minar,28.524413,77.1854501
Vasant Kunj,28.5292495,77.1541335
Lok Kalyan Marg,28.5973513,77.2110967
Hauz Rani,28.5291809,77.2117586
Bhiwadi,,
Arjangarh,28.4787294,77.1209508
Samaypur Badli,28.7446411,77.1382701
Ambience Mall,28.5412453,77.1551082
Noida Film City,,
Ghitorni,28.4931214,77.1424868
Rajiv Nagar,28.7440548,77.1624222
Chanakyapuri,28.5946775,77.1885212
Pitampura,28.6995123,77.1301047
Lal Quila,28.657483,77.2366607
Barakhamba Road,28.6300456,77.2243619
Sadar Bazar Gurgaon,,
Rajouri Garden,28.6511896,77.1242597
Kashmere Gate,28.6668141,77.2290549
Faridabad Sector 15,28.4997029,77.315639
Sohna Road,,
Ashram,28.5724231,77.2585979
South Extension,28.5685664,77.2205677
Hero Honda Chowk,28.7404709,77.1658628
Madipur,28.6764752,77.1193599
GTB Nagar,28.6981333,77.2063998
Chirag Delhi,28.5381411,77.2280694
Uttam Nagar,28.6215226,77.0611064
Delhi Gate,28.6392211,77.2408097
Vishwavidyalaya,28.6899842,77.2197295
Ashok Park Main,28.6716045,77.155291
Gurgaon Sector 29,28.5337309,77.089943
Ramesh Nagar,28.6527444,77.1316496
Inderlok,28.6727066,77.1691872
Huda City Centre,,
Ghitorni Village,28.4931214,77.1424868
Govindpuri,28.5351561,77.2637936
Okhla,28.5636616,77.2890546
RK Puram,28.5656918,77.174646
Mehrauli,28.5218262,77.1783232
Akshardham,28.6125167,77.2773184
Vatika Chowk,,
Shivaji Park,28.6750317,77.1304722
Lajpat Nagar,28.5660924,77.2432851
Manesar,28.3083078,76.8958358
Seelampur,28.6698165,77.2668137
Civil Lines Gurgaon,,
Anand Vihar ISBT,28.6467533,77.3180037
Noida Extension,,
Golf Course Road,28.5988477,77.2359301
Noida Sector 18,,
New Colony,28.5671008,77.2697643
Gurgaon Railway Station,,
Dwarka Mor,28.61931,77.0332792
Satguru Ram Singh Marg,28.6188228,77.1131431
Dilshad Garden,28.6758864,77.321446
Saket A Block,28.528163,77.2048771
Hauz Khas,28.5498087,77.2077638
Punjabi Bagh,28.672995,77.1461239
Patel Chowk,28.6229664,77.214031
Nehru Place,28.5492574,77.2529526
Badshahpur,,
Mansarovar Park,28.675385,77.3008678
Vaishali,28.6407652,77.0676646
Chhatarpur,28.5067242,77.1750019
Khan Market,28.5995141,77.2259785
Meerut,28.6046556,77.3140724
Aya Nagar,28.476491,77.1329132
Old Gurgaon,28.5337309,77.089943
Subhash Nagar,28.6404593,77.1051815
Subhash Chowk,28.6570924,77.2400049
Sarai Kale Khan,28.5866263,77.2562282
Bhikaji Cama Place,28.5702618,77.1878709
Raj Nagar Extension,,
Adarsh Nagar,28.7165805,77.1704223
Yamuna Bank,28.6232554,77.2678697
Kalkaji,28.5469476,77.258801
New Delhi Railway Station,28.6402816,77.2204103
Welcome,28.6724018,77.2770239
Khandsa,,
Sonipat,28.8615181,77.0863234
Pulbangash,28.664396,77.212246
Preet Vihar,28.6414176,77.2952819
Shastri Park,28.6684339,77.2505301
Rajiv Chowk,28.6314022,77.2193791
Nirman Vihar,28.6364592,77.2868145
IFFCO Chowk,28.4771721,77.0682208
Ghaziabad,28.7172505,77.2869559
AIIMS,28.5668602,77.2078058
Rohini,28.7162092,77.1170743
Shahdara,28.6758661,77.2985078
Maidan Garhi,28.4987734,77.1944475
Kherki Daula Toll,,
Paschim Vihar,28.6695782,77.095956
Jahangirpuri,28.7259717,77.162658
ITO,28.6281909,77.2410437
DLF City Court,,
Noida Sector 62,28.6292302,77.384168
Panipat,,
Jor Bagh,28.5865094,77.2125273
Pataudi Chowk,28.6481428,77.2379943
Sushant Lok,,
Greater Kailash,28.5419077,77.2384925
Connaught Place,28.6314022,77.2193791
Mayur Vihar,28.6098555,77.2926318
Shastri Nagar,28.6700885,77.1818589
Karol Bagh,28.6529982,77.1890227
Central Secretariat,28.6158794,77.2122822
Peeragarhi,28.6773142,77.0931024
Moolchand,28.5644044,77.2342555
Indraprastha,28.6206019,77.249551
Moti Nagar,28.657859,77.1424288
Tagore Garden,28.6437639,77.1128454
IMT Manesar,,
Udyog Vihar Phase 4,28.6822073,77.0884362
Keshav Puram,28.6889264,77.1616833
Ashok Vihar,28.6885171,77.1739339
IGI Airport,28.5564626,77.0866995
Kadarpur,,
Model Town,28.707334,77.1885231
Pragati Maidan,28.6172378,77.2434616
Vinobapuri,28.565871,77.2492973
IIT Delhi,28.5449971,77.1891506
Tis Hazari,28.6671626,77.2166306
Kaushambi,28.6452857,77.3243429
Paharganj,28.6414989,77.2140607
Nawada,28.6202758,77.0450787
Ardee City,,
Mandi House,28.6256122,77.2341966
Indirapuram,,
Badarpur,28.4932633,77.3030303
Botanical Garden,,
Sikanderpur,,
MG Road,28.4915171,77.1433001
Saidulajab,28.5204237,77.2022859
Karkarduma,28.6493434,77.3060686
Malviya Nagar,28.5339201,77.2124474
Rohini West,28.7149569,77.115385
Kirti Nagar,28.655746,77.1506635
Gurgaon Sector 56,28.5337309,77.089943
Netaji Subhash Place,28.6960485,77.1524856
INA Market,28.5744076,77.2102415
Sultanpur,28.4991235,77.1613745
Bahadurgarh,28.6602024,77.2148037
Kanhaiya Nagar,28.6824082,77.1647754
Vidhan Sabha,28.6863222,77.2217271
Laxmi Nagar,28.6305974,77.277523
Chandni Chowk,28.6559834,77.2321937
Azadpur,28.7057821,77.1819488
